city|description
Алде́я-Но́ва-ди-Сан-Бе́нту| Португалия, пров. Байшу-Алентежу
Але́г| Мавритания
Алегза́ндрия| США, шт. Виргиния
Алегза́ндрия| США, шт. Луизиана
Алегре́ти| Бразилия, шт. Риу-Гранди-ду-Сул
Але́гри| Бразилия, шт. Пара
Алекса́ндер-Бей| ЮАР, Капская пров.
Алекса́ндра| арх., Тихий океан, у сев.-зап. побережья Северной Америки; США
Алекса́ндра| о., о-ва Кука, влад. Новой Зеландии, см. Ракаха́нга (Алекса́ндра), ат.
Алекса́ндра (Кызылала́н)| разв. вала, Иран
Александре́тта| Турция, см. Искендеру́н
Александри́я| Египет, адм. центр мухафазы Александрия
Алекса́ндрия| Канада, пров. Онтарио
Александри́я| Румыния, адм. центр уезда Телеорман
Алекса́ндрия| США, см. Алегза́ндрия
Алекса́ндрия| ЮАР, Капская пров.
Александри́я| мухафаза, Египет
Алекса́ндрово| Болгария, Ловечский окр.
Алекса́ндр-Сельки́рк| о., Тихий океан, о-ва Хуан-Фернандес; Чили
Алекса́ндр-Стамболи́йски| вдхр., на р. Росица; Болгария, Габровский и Великотырновский округа
Алекса́ндрув-Куя́вски| Польша, Влоцлавское воев.
Алекса́ндрув-Лу́дзки| Польша, Лодзинское воев.
Александру́полис| Греция, адм. центр нома Эврос
Але́ксинац| Югославия, Социалистическая Республика Сербия
Алема́ния| Аргентина, пров. Сальта
А́лемусьяуре| оз., Швеция, см. А́ккаяуре, оз.
А́лен| ФРГ, земля Баден-Вюртемберг
А́лен| ФРГ, земля Северный Рейн-Вестфалия
Аленуиха́ха| прол., Тихий океан, Гавайские о-ва, между о-вами Мауи и Гавайи
Але́ппо| нп и мухафаза, Сирия, см. Ха́леб (Але́ппо), нп и мухафаза
Але́рия| Франция, деп. Верхняя Корсика
Але́рт| Канада, Северо-Западные территории, о. Элсмир
Але́рт| м., сев. побережье о. Элсмир; Канада
А́лес| Италия, обл. Сардиния
Але́с| Франция, деп. Гар
Алесса́ндрия| Италия, обл. Пьемонт
Алеу́тская впа́дина| Тихий океан, см. Алеу́тский жёлоб
Алеу́тские острова́| Тихий океан; США
Алеу́тский жёлоб| Тихий океан; наибольшая глубина 7822 м
Алеу́тский хребе́т| США, шт. Аляска
А́лечский ледни́к| Швейцария
А́лешд| Румыния, уезд Бихор
Алешки́рт| Турция, см. Элешки́рт
Алжи́р| столица Алжира
Алжи́р| Алжи́рская Наро́дная Демократи́ческая Респу́блика, гос-во, Северная Африка
Алжи́р| вилайет, Алжир
Алжуштре́л| Португалия, пров. Байшу-Алентежу
Алиаба́д| Иран, остан Мазендеран
Алиаба́д| Иран, остан Хормозган
А́ливал-Норт| ЮАР, Капская пров.
Аливе́рион| Греция, ном Эвбея, о. Эвбея
Али́-Гарби́| Ирак, см. Али́-эль-Гарби́
Алига́рх| Индия, шт. Уттар-Прадеш
Алика́нте| Испания, адм. центр пров. Аликанте
Алика́нте| пров., Испания
Алику́ди| о., Тирренское море, Липарские о-ва; Италия
Аликуи́ппа| США, шт. Пенсильвания
Али́нг-Гангри́| г. (также называется Нгангло́нг-Кангри́) выс. 7315 м, хр. Алинг-Гангри, Китай
Али́нг-Гангри́| хр. (также называется Нгангло́нг-Кангри́), Китай
Алингсо́с| Швеция, лен Эльвсборг
А́лис| США, шт. Техас
А́лис| ЮАР, Капская пров.
Али́-Сабие́| Джибути
А́лисдейл| ЮАР, Капская пров.
А́лис-Спри́нгс| Австралия, Северная тер.
Алихе́йль| Афганистан, пров. Кабул
Али́хос| скалы, Тихий океан, к зап. от п-ова Калифорния; Мексика
А́личе| м., юго-вост. побережье Апеннинского п-ова; Италия
Али́-эль-Гарби́| Ирак
Али́я| Испания, пров. Касерес
Алка́нтара| Бразилия, шт. Мараньян
Алка́сер-ду-Сал| Португалия, пров. Байшу-Алентежу
Алка́соваш| Португалия, пров. Алту-Алентежу
Алко́а| США, шт. Теннесси
Алкоба́са| Португалия, пров. Эстремадура
